Data Report;;;;;
File created on:2020-08-18 15:54:00;;;;;
;;;;;
Device Information;;;;;
Device Model;RC-4HC;Logging Interval;300;Start Time;10/08/2020 11:02
Total Space;16000;Press Button ;Disable;Temperature Unit;°C
Storage Mode;N/A;Alarm Tone;Disable;;
Button Tone;Disable;Logging interval shortened in alarm;N/A;;
Trip Description;;;;;
Serial Number;V59;;;;
Trip Description;RC-4HC Data Logger;;;;
Alarm Settings;Alarm Status;;;;
H1:60,0°C;Normal;;;;
Ideal Zone;;;;;
L1:-30,0°C;Normal;;;;
Above:90,0%;Normal;;;;
Ideal Zone;;;;;
Below:20,0%;Normal;;;;
Summary;;;;;
Data Points;2363;;Mean Kinetic Temperature (MKT);13,4;
First Reading;10/08/2020 11:02;;Last Reading;18/08/2020 15:52;
Maximum(Temperature);19,4°C;;Minimum(Temperature);9,6°C;
Average(Temperature);13,2°C;;Recorded Period;8D 4H 50M 0S;
First Alarm(Temperature);N/A;;;;
Maximum(Humidity);57,10%;;Minimum(Humidity);42,10%;
Average(Humidity);51,00%;;;;
First Alarm(Humidity);N/A;;;;
;;;;;
406;11/08/2020 20:47;14,2;44,6;;
407;11/08/2020 20:52;14,1;44,6;;
408;11/08/2020 20:57;14,1;45,1;;
409;11/08/2020 21:02;14;45,1;;
410;11/08/2020 21:07;14;45,1;;
411;11/08/2020 21:12;13,9;45,1;;
412;11/08/2020 21:17;13,9;45,1;;
413;11/08/2020 21:22;13,8;45,1;;
414;11/08/2020 21:27;13,8;45,1;;
415;11/08/2020 21:32;13,7;45;;
416;11/08/2020 21:37;13,7;45;;
417;11/08/2020 21:42;13,6;45,5;;
418;11/08/2020 21:47;13,6;45,5;;
419;11/08/2020 21:52;13,5;45,5;;
420;11/08/2020 21:57;13,5;45,5;;
421;11/08/2020 22:02;13,4;45,5;;
422;11/08/2020 22:07;13,4;46;;
423;11/08/2020 22:12;13,4;46;;
424;11/08/2020 22:17;13,4;46;;
425;11/08/2020 22:22;13,3;46;;
426;11/08/2020 22:27;13,3;46;;
427;11/08/2020 22:32;13,2;46;;
428;11/08/2020 22:37;13,2;46;;
429;11/08/2020 22:42;13,2;46;;
430;11/08/2020 22:47;13,1;46;;
431;11/08/2020 22:52;13,1;46;;
432;11/08/2020 22:57;13,1;46;;
433;11/08/2020 23:02;13;46,5;;
434;11/08/2020 23:07;13;46,5;;
435;11/08/2020 23:12;13;46,5;;
436;11/08/2020 23:17;12,9;46,5;;
437;11/08/2020 23:22;12,9;46,5;;
438;11/08/2020 23:27;12,9;46,5;;
439;11/08/2020 23:32;12,8;46,5;;
440;11/08/2020 23:37;12,8;47;;
441;11/08/2020 23:42;12,7;46,9;;
442;11/08/2020 23:47;12,7;46,9;;
443;11/08/2020 23:52;12,7;46,9;;
444;11/08/2020 23:57;12,7;46,9;;
445;12/08/2020 0:02;12,6;46,9;;
