RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data LoggerV342;;
Number;7184200118;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0,0 H;;
Data Sum;2545;;
Temperature Maximum;24°C;;
Temperature Minimum;14,8°C;;
Temperature Average;17,9°C;;
Temperature Alarm Upper Limit;60,0°C;;
Temperature Alarm Lower Limit;-30,0°C;;
Humidity Maximum;63%RH;;
Humidity Minimum;43,3%RH;;
Humidity Average;55,1%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;2022-04-25 15:42:01;;
End Time;2022-05-04 11:42:01;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
463;2022-04-27 06:12:01;17,1;62,1
464;2022-04-27 06:17:01;17;62,1
465;2022-04-27 06:22:01;17;62,1
466;2022-04-27 06:27:01;17;62,1
467;2022-04-27 06:32:01;17;62,1
468;2022-04-27 06:37:01;16,9;62,5
469;2022-04-27 06:42:01;16,9;62,5
470;2022-04-27 06:47:01;16,9;62,5
471;2022-04-27 06:52:01;16,9;62,5
472;2022-04-27 06:57:01;16,9;62,5
473;2022-04-27 07:02:01;16,9;62,5
474;2022-04-27 07:07:01;16,9;62,5
475;2022-04-27 07:12:01;16,9;62,5
476;2022-04-27 07:17:01;16,9;62,5
477;2022-04-27 07:22:01;16,9;62,5
478;2022-04-27 07:27:01;16,9;62,5
479;2022-04-27 07:32:01;16,9;62,5
480;2022-04-27 07:37:01;16,9;62,5
481;2022-04-27 07:42:01;16,9;62,5
482;2022-04-27 07:47:01;16,9;62,5
483;2022-04-27 07:52:01;16,9;62,5
484;2022-04-27 07:57:01;16,9;62,5
485;2022-04-27 08:02:01;16,9;62,5
486;2022-04-27 08:07:01;16,9;62,5
487;2022-04-27 08:12:01;17;62,5
488;2022-04-27 08:17:01;17;62,5
489;2022-04-27 08:22:01;17;62,5
490;2022-04-27 08:27:01;17;62,5
491;2022-04-27 08:32:01;17,1;62,5
492;2022-04-27 08:37:01;17,1;62,5
493;2022-04-27 08:42:01;17,1;62,5
494;2022-04-27 08:47:01;17,1;62,5
495;2022-04-27 08:52:01;17,1;62,5
496;2022-04-27 08:57:01;17,2;62,5
