RC-4HC Temperature+Humidity Data Logger;;;;
User Information;RC-4HC Data Logger V556;;;
Number;719AH10153;;;
Interval    ;0:5:0 H:M:S;;;
Delay Time;0.0 H;;;
Data Sum;28/10/1905 0:00;;;
Temperature Maximum;28.5°C;;;
Temperature Minimum;19.3°C;;;
Temperature Average;22.9°C;;;
Temperature Alarm Upper Limit;60.0°C;;;
Temperature Alarm Lower Limit;-30.0°C;;;
Humidity Maximum;49.1%RH;;;
Humidity Minimum;33.4%RH;;;
Humidity Average;43.1%RH;;;
Humidity Alarm Upper Limit;90%RH;;;
Humidity Alarm Lower Limit;20%RH;;;
Start Time;03/03/2022 12:57;;;
End Time;10/03/2022 22:12;;;
Date Format;yyyy-MM-dd HH:mm:ss;;;
Temperature Unit;°C;;;
Number;Time;Temperature°C;Humidity%RH;
478;05/03/2022 4:42;21.5;45.3;
479;05/03/2022 4:47;21.5;45.3;
480;05/03/2022 4:52;21.5;45.8;
481;05/03/2022 4:57;21.5;45.8;
482;05/03/2022 5:02;21.5;45.8;
483;05/03/2022 5:07;21.5;45.8;
484;05/03/2022 5:12;21.5;45.8;
485;05/03/2022 5:17;21.4;45.8;
486;05/03/2022 5:22;21.4;45.8;
487;05/03/2022 5:27;21.4;45.8;
488;05/03/2022 5:32;21.4;45.8;
489;05/03/2022 5:37;21.4;45.8;
490;05/03/2022 5:42;21.4;45.8;
491;05/03/2022 5:47;21.3;45.8;
492;05/03/2022 5:52;21.3;45.8;
493;05/03/2022 5:57;21.3;45.8;
494;05/03/2022 6:02;21.3;45.8;
495;05/03/2022 6:07;21.3;45.8;
496;05/03/2022 6:12;21.2;45.8;
497;05/03/2022 6:17;21.2;45.8;
498;05/03/2022 6:22;21.2;45.8;
499;05/03/2022 6:27;21.2;46.3;
500;05/03/2022 6:32;21.2;46.3;
501;05/03/2022 6:37;21.2;46.3;
502;05/03/2022 6:42;21.2;46.3;
503;05/03/2022 6:47;21.2;46.3;
504;05/03/2022 6:52;21.1;46.3;
505;05/03/2022 6:57;21.1;46.3;
506;05/03/2022 7:02;21.1;46.3;
507;05/03/2022 7:07;21.1;46.3;
508;05/03/2022 7:12;21.1;46.3;
509;05/03/2022 7:17;21.1;46.3;
510;05/03/2022 7:22;21;46.8;
511;05/03/2022 7:27;21.1;46.8;
512;05/03/2022 7:32;21;46.8;
